Owner,Total Capacity (ttpa),Number of Plants
POSCO Holdings Inc,40700.0,2
Nippon Steel Corp,35395.0,7
Angang Steel Co Ltd,30250.0,3
JSW Steel Ltd,28359.0,4
Cleveland-Cliffs Inc,26377.0,9
Hyundai Steel Co,24297.0,3
JFE Steel Corp,20469.0,4
Steel Authority of India Ltd,20132.0,6
Baoshan Iron & Steel Co Ltd,19800.0,1
Tata Steel Ltd,19720.0,3
Nucor Corp,17737.0,11
Zhangjiagang Hongchang Steel Co Ltd,16947.0,1
Wuhan Iron and Steel Co Ltd,15907.0,1
Inner Mongolia BaoTou Steel Union Co Ltd,15610.0,1
Maanshan Iron & Steel Co Ltd,15480.0,1
Hunan Valin Lianyuan Iron and Steel Co Ltd,15200.0,2
Magnitogorskiy Metallurgicheskiy Kombinat PJSC,14500.0,1
Novolipetsk Steel PJSC,14400.0,1
Mobarakeh Steel Co,14100.0,4
Shougang Jingtang United Iron & Steel Co Ltd,13700.0,1
Steel Dynamics Inc,12562.0,6
Baosteel Zhanjiang Iron & Steel Co Ltd,12528.0,1
Shanxi Taigang Stainless Steel Co Ltd,12460.0,1
Bengang Steel Plates Co Ltd,12400.0,1
Severstal PJSC,12001.0,1
United States Steel Corp,12000.0,3
Hoa Phat Dung Quat Steel JSC,11600.0,1
Rizhao Steel Holding Group Co Ltd,11300.0,1
Zhangjiagang Rongsheng Steel-Making Co Ltd,10571.0,1
Government of North Korea,10252.0,4
Hebei Donghai SPECIAL Steel Group Co Ltd,10001.0,1
Xinyu Iron & Steel Corp Ltd,10001.0,1
Nanjing Iron & Steel Co Ltd,10000.0,1
China Steel Corp,10000.0,1
Hebei Yanshan Iron and Steel Group Co Ltd,9990.0,1
Guangxi Shenglong Metallurgical Co Ltd,9783.0,1
ArcelorMittal Nippon Steel India Ltd,9600.0,1
Jindal Steel & Power Ltd,9600.0,2
Liuzhou IRON&STEEL Co Ltd,9458.0,1
Evraz ZSMK JSC,8760.0,1
SGIS Songshan Co Ltd,8698.0,1
Shandong IRON&STEEL Group Rizhao Co Ltd,8500.0,1
Guangxi Iron and Steel Group Co Ltd,8400.0,1
Chongqing Iron & Steel Co Ltd,8400.0,1
ArcelorMittal Brasil SA,8200.0,6
Chengde Street Ltd,8000.0,1
Acciaierie d'italia SpA,7800.0,1
Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,7700.0,1
Shanghai Meishan Iron & Steel Co Ltd,7600.0,1
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,7500.0,1
Formosa Ha Tinh Steel Corp,7500.0,1
ArcelorMittal Tubarão Comercial SA,7500.0,1
HBIS Laoting Steel Co Ltd,7450.0,1
Rashtriya Ispat Nigam Ltd,7302.0,1
