Owner,year,production,emissions
Angang Lianzhong Stainless Steel Corp,2020,1387.0,693.5
Angang Lianzhong Stainless Steel Corp,2021,1387.0,693.5
Angang Lianzhong Stainless Steel Corp,2022,1387.0,693.5
Angang Lianzhong Stainless Steel Corp,2023,1387.0,693.5
Angang Lianzhong Stainless Steel Corp,2024,1387.0,693.5
Angang Lianzhong Stainless Steel Corp,2025,1387.0,693.5
Angang Lianzhong Stainless Steel Corp,2026,1387.0,693.5
Angang Lianzhong Stainless Steel Corp,2027,1387.0,693.5
Angang Lianzhong Stainless Steel Corp,2028,1387.0,693.5
Angang Lianzhong Stainless Steel Corp,2029,1387.0,693.5
Angang Lianzhong Stainless Steel Corp,2030,1387.0,693.5
Angang Steel Co Ltd,2020,24805.0,52090.5
Angang Steel Co Ltd,2021,24805.0,52090.5
Angang Steel Co Ltd,2022,24805.0,52090.5
Angang Steel Co Ltd,2023,24805.0,52090.5
Angang Steel Co Ltd,2024,24805.0,52090.5
Angang Steel Co Ltd,2025,24805.0,52090.5
Angang Steel Co Ltd,2026,24805.0,52090.5
Angang Steel Co Ltd,2027,24805.0,52090.5
Angang Steel Co Ltd,2028,24805.0,52090.5
Angang Steel Co Ltd,2029,24805.0,52090.5
Angang Steel Co Ltd,2030,24805.0,52090.5
Anhui Changjiang Steel Co Ltd,2020,3116.0,6543.6
Anhui Changjiang Steel Co Ltd,2021,3116.0,6543.6
Anhui Changjiang Steel Co Ltd,2022,3116.0,6543.6
Anhui Changjiang Steel Co Ltd,2023,3116.0,6543.6
Anhui Changjiang Steel Co Ltd,2024,3116.0,6543.6
Anhui Changjiang Steel Co Ltd,2025,3116.0,6543.6
Anhui Changjiang Steel Co Ltd,2026,3116.0,6543.6
Anhui Changjiang Steel Co Ltd,2027,3116.0,6543.6
Anhui Changjiang Steel Co Ltd,2028,3116.0,6543.6
Anhui Changjiang Steel Co Ltd,2029,3116.0,6543.6
Anhui Changjiang Steel Co Ltd,2030,3116.0,6543.6
Anhui Guihang Special Steel Co Ltd,2020,2214.0,4649.400000000001
Anhui Guihang Special Steel Co Ltd,2021,2214.0,4649.400000000001
Anhui Guihang Special Steel Co Ltd,2022,2214.0,4649.400000000001
Anhui Guihang Special Steel Co Ltd,2023,2214.0,4649.400000000001
Anhui Guihang Special Steel Co Ltd,2024,2214.0,4649.400000000001
Anhui Guihang Special Steel Co Ltd,2025,2214.0,4649.400000000001
Anhui Guihang Special Steel Co Ltd,2026,2214.0,4649.400000000001
Anhui Guihang Special Steel Co Ltd,2027,2214.0,4649.400000000001
Anhui Guihang Special Steel Co Ltd,2028,2214.0,4649.400000000001
Anhui Guihang Special Steel Co Ltd,2029,2214.0,4649.400000000001
Anhui Guihang Special Steel Co Ltd,2030,2214.0,4649.400000000001
