name,logo,type,traded_as,industry,founded,hq_location,hq_location_city,hq_location_country,area_served,key_people,products,revenue,owner,num_employees,subsid,homepage,_company_name,native_name,logo_size,image,image_caption,foundation,founder,location_city,location_country,services,revenue_year,operating_income,income_year,net_income,net_income_year,assets,assets_year,equity,equity_year,owners,footnotes,website,image_size,module,num_employees_year,parent,location,logo_upright,ISIN,aum,ratio,predecessor,logo_caption,former_name,rating,native_name_lang,trading_name,brands,romanized_name,box_width,other_name,color,logo_width,image_width,system,status,locale,start,end,stations,ridership2,open,yearcommenced,operator,character,stock,linelength,gauge,minradius,maxincline,electrification,speed,map,map_state,embedded,divisions,founders,defunct,fate,trade_name,num_locations,num_locations_year,production,pic,piccap,t,l,p,image_alt,caption,linelength_km,tracks,signalling,successor,company_name,company_logo,company_type,airline,fleet_size,destinations,IATA,ICAO,callsign,hubs,secondary_hubs,focus_cities,frequent_flyer,alliance,subsidiaries,headquarters,image_upright,commenced,bases,profit,profit_year
Kweichow Moutai <br/> 贵州茅台,File:Kweichow_Moutai_Logo.png,[[public company|Public]] <br /> [[State-Owned Enterprise]],{{sse|600519}} <br>CSI A50,[[Alcohol industry]],{{start date and age|1951}},"[[Maotai, Guizhou|Maotai]]","<br />[[Renhuai]], [[Guizhou]]",[[China]],Worldwide,Ding Xiongju <br /> ([[Chinese Communist Party Committee Secretary|Committee Secretary]])  <br /> ([[Chairman]]),[[Baijiu]] <br /> [[Maotai]],{{increase}} (2022) <br /> {{CNY|124.1 billion}} <br /> {{US$| 18.96 billion}},[[State-owned Assets Supervision and Administration Commission of the State Council|Guizhou SASAC]] (60.82%),"31,413 (2022)",bdaxsa,[http://www.moutaichina.com/ moutaichina.com],Kweichow Moutai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ping An Insurance,Ping An English logo 2022.png,[[Public company|Public]],{{ubl|SSE|601318| (A share)|SEHK|2318| (H share)|SEHK|82318| (Yuan share)|CSI A50|[[Hang Seng Index]] component}} {{SSE|601318}} (A share) {{SEHK|2318}} (H share) {{SEHK|82318}} (Yuan share),[[Financial services]],,,,,Worldwide,"([[chairman]]), [[Xie&nbsp;Yonglin]]&nbsp;([[President (corporate title)|president]]&nbsp;&&nbsp;[[Co-CEO]]), [[Michael&nbsp;Guo]]&nbsp;([[Co-CEO and Senior Vice President]])",,"{{increase}} {{CNY|1,141,346&nbsp;Million}}",,"Approx. 273,053",,[https://group.pingan.com https://group.pingan.com],Ping An Insurance,{{lang|zh-CN|中国平安保险}},175px,Pingan International Finance Center2020.jpg,Headquarters at [[Ping An International Finance Centre]],{{start date and age|1988}},[[Ma&nbsp;Mingzhe]],[[Shenzhen]],China,{{ubl|[[Insurance]] |[[Life insurance]] |[[Health insurance]] |[[Property insurance]] |[[Casualty Insurance]] |[[Banking]] |[[Asset Management]] |[[Health and senior care]]}},2024,"{{increase}} {{CNY|1,028,925&nbsp;Million}}",2024,"{{increase}} {{CNY|126,607&nbsp;Million}}",2024,"{{increase}} {{CNY|12,957,827&nbsp;Million}}",2024,"{{increase}} {{CNY|1,304,712&nbsp;Million}}",2024,"{{bulleted list |CP Group Ltd. (5.30%) |Shenzhen Investment Holdings Co., Ltd.(5.29%)}} {{ubl|(as of 31 December 2024)
Tencent (52.41%)}}",in a consolidated basis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contemporary Amperex Technology Co., Limited",Contemporary Amperex Technology logo.svg,,{{szse|300750}} <br>CSI A50<br> {{sehk|3750}},[[Battery industry|Electric batteries]],{{start date and age|2011}},,"[[Ningde]], Fujian",China,,"{{Unbulleted list
  | Robin Zeng ([[Chairperson|Chair]])}}",,{{increase}} 178.886 billion yuan (25.1B$)(H1 2025),,"131,988 (2025)",,,CATL,{{lang|zh|宁德时代新能源科技股份有限公司}},,CATL Arnstadt 2crop 2020-04.jpg,"CATL facility in [[Arnstadt]], Germany, one of thirteen facilities around the world.",,[[Robin Zeng]],,,,,,,{{increase}} 30.49 billion yuan (4.2B$)(H1 2025),,{{increase}} [[US$]] 113.0 billion (2025),,,,,,{{Official URL}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Merchants Bank Company Limited,China Merchants Bank logo.svg,[[Public company|Public]],{{ubl|SSE|600036|hkse|3968|CSI A50}} {{SSE|600036}} {{hkse|3968}},[[Bank]]ing,,,,,Worldwide,Miao Jianmin <small>([[Chairman]])</small><br>Wang Liang <small>(President & [[CEO]])</small>,,{{Increase}} CNY¥ {{FXConvert|CHN|225.61|b}} (2020),[[China Merchants Group]] (18%),"74,590 <small>(2018)</small>",,[https://www.cmbchina.com],China Merchants Bank,{{lang|zh-Hans|招商银行股份有限公司}},,CMB Tower in Shenzhen2021.jpg,"[[Headquarters]] of China Merchants Bank in the West [[Futian District]] of [[Shenzhen]], China",{{start date and age|1987|4|8|df|=|y}},[[Yuan Geng]],"[[China Merchants Bank Tower]], [[Futian District]], [[Shenzhen]], [[Guangdong]]",[[China]],"[[Deposit (finance)|Deposit]], [[loan]], [[credit card]] and other banking services.",,{{Increase}} CNY¥ {{FXConvert|CHN|106.5|b}} (2018),,{{Increase}} CNY¥ {{FXConvert|CHN|80.56|b}} (2018),,{{Increase}} CNY¥ {{FXConvert|CHN|6.746|t}} (2018),,{{Increase}} CNY¥ {{FXConvert|CHN|543.61|b}} (2018),,,,,200px,"{{infobox Chinese
  | child |=| yes
  | s     |=| 招商银行
  | t     |=| 招商銀行
  | p     |=| Zhāoshāng Yínháng
  | w     |=| 
  | mi    |=| 
  | y     |=| 
  | j     |=| 
  | poj   |=| 
  | l     |=| 
  | order |=| st}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midea Group,Midea.svg,[[Public company|Public]],{{SZSE|000333}} <br /> {{HKEX|300}} <br>CSI A50,[[Home appliance]]<br />[[Electrical device]]s,,,,,,[[Paul Fang]] ([[Chairman]]),[[Major appliances]]<br />[[Small appliances]],{{nowrap|increase| |CNY|343.4&nbsp;[[billion (short scale)|billion]]|link|=|yes}} {{increase}} {{CNY|343.4&nbsp;[[billion (short scale)|billion]]|link|=|yes}},He Xiangjian<br/>(via {{zh|c|=|美的控股|l|=|Midea Holding}} ; 31.51%),"About 150,000",{{aligned table|GD Midea|(100%)|[[KUKA]]|(100%)|ref|{{cite press release| url=https://www.kuka.com/en-ca/company/press/news/2022/11/squeeze-out-completed | title=KUKA AG completes Squeeze-out|publisher= KUKA Aktiengesellschaft|date=8 November 2022}}|</ref>|[[Eureka (company)|Eureka]]}},{{url|https://www.midea-group.com/|midea-group.com}},Midea Group,,230px,Midea Group headquarters.jpg,Headquarters in Beijiao,{{Start date and age|1968}},[[He Xiangjian]],"[[Beijiao, Guangdong|Beijiao]], [[Shunde District]], [[Foshan]] city, [[Guangdong]] province",China,,2021,{{increase}} {{CNY|0|33.281&nbsp;billion}} {{0}} 33.281&nbsp;billion,2021,{{increase}} {{CNY|0|29.015&nbsp;billion}} {{0}} 29.015&nbsp;billion,2021,{{increase}} {{CNY|387.946&nbsp;billion}},2021,{{increase}} {{CNY|0|124.868&nbsp;billion}} {{0}} 124.868&nbsp;billion,2021,,,,250px,"{{Chinese|child|=|yes|s|=|美的集团|t|=|美的集團|p|=|Měidì jítuán|j|=|Mei5dik1 zaap6tyun4|y|=|Méihdīk jaahptyùhn|order|=|st|l|=|Midea Group|altname|=|Midea Group Co., Ltd.|s2|=|美的集团股份有限公司|t2|=|美的集團股份有限公司|p2|=|Měidí jítuán gǔfèn yǒuxiàn gōngsī|j2|=|Mei5dik1 zaap6tyun4 gu2faan2 jau5haan6 gung1si1|y2|=|Méihdīk jaahptyùhn gúfán yáauhhaahn gūngsī|l2|=|Midea Group, Company Limited by Shares}}",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wuliangye <br /> 五粮液,Wuliangye logo.svg,[[Public company |Public]] <br /> [[State-Owned Enterprise]],{{szse|000858}},[[Alcoholic Beverage|Alcoholic Beverages]],,,,,Worldwide,Zeng Congqin <br/ > ([[Chairman]]) <br /> ([[Chinese Communist Party Committee Secretary|Committee Secretary]]),[[Baijiu]],{{increase}} (2022) <br /> {{CNY|73.97 billion}} <br /> {{US$| 23.12 billion}},,"46,678 (2022)",,[https://www.wuliangye.com.cn/zh/main/index.html wuliangye.com.cn],Wuliangye Yibin,,,,,{{start date and age|1952}},,"[[Yibin]], [[Sichuan]]",[[China]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangtze Power,Yangtzepower.png,[[Public company|Public]],{{ubl|SSE|600900|<hr>|[[SSE 180 Index|SSE MidCap Component]]|CSI A50}} {{SSE|600900}},[[Hydroelectricity]],,,,,China,Li Yongan (chairman),,,,,,{{url|http://www.cypc.com.cn}},China Yangtze Power,,,,,{{sda|2002}},,[[Beijing]],China,,,,,,,,,,,,,,,,,[[China Three Gorges Corporation|China&nbsp;Three&nbsp;Gorges]] (61.92%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zijin Mining Group Co., Limited",Zijin Mining Logo.svg,[[Public company|Public]]; partly [[state-owned enterprises of China|state-owned]],{{ubl|SSE|601899|hkex|2899|CSI A50}} {{SSE|601899}} {{hkex|2899}},[[Mining]],,,,,Worldwide,[[Chairman]]: Mr. Chen Jinghe,"[[Gold]], [[Copper]], [[Zinc]]","{{CNY|303,600,000,000}} (FY 2024)",,,,{{Official URL}},Zijin Mining Group,,,,,{{Start date and age|1986}} as Shanghang Mineral Company,,"[[Shanghang]], [[Longyan]], [[Fujian]]",[[People's Republic of China]],,,,,"{{CNY|32,100,000,000}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITIC Securities Company Limited <br /> 中信证券股份有限公司,CITIC_Securities_Logo.png,[[Public company|Public]],{{ubl|Shanghai Stock Exchange|600030| (A share)| |Hong Kong Stock Exchange|06030| (H share)|CSI A50}} {{Shanghai Stock Exchange|600030}} (A share) {{Hong Kong Stock Exchange|06030}} (H share),Financial services,,,,,China,,,,[[CITIC Group]] (15.59%),,[[CLSA]],{{URL|www.cs.ecitic.com}},CITIC Securities,,150px,SZ 深圳 Shenzhen 福田 Futian 嘉里建設廣場 Kerry Plaza 福華路 Fuhua Road October 2017 IX1 office building facade CITIC Securities Tower.jpg,Headquarters in Shenzhen,{{start date and age|1995}},,[[Shenzhen]],China,{{Unbulleted list|Investment banking|Securities brokerage}},,,,,,,,,,,,,,,,,CITIC Securities Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu Hengrui Pharmaceuticals Co. Ltd,Jiangsu Hengrui Pharmaceuticals.png,[[Public company]],{{sse|600276}} <br>CSI A50<br> {{sehk|1276}},[[Pharmaceutical industry|Pharmaceuticals]],,,,,"{{flatlist|
*China
*Global}}",[[Sun Piaoyang]] (chairman),,,,"24,500 (2020)",,{{url|www.hengrui.com/}},Jiangsu Hengrui Medicine,,,恒瑞医药大楼正面.jpg,Headquarters in Lianyungang,1997,,,,,,,,,,,,,,,,,,,,,"[[Lianyungang, Jiangsu]], China",0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
