name,former_name,logo,logo_size,logo_caption,image,image_size,image_caption,type,traded_as,founder,location_city,location_country,area_served,key_people,industry,products,revenue,operating_income,net_income,assets,equity,num_employees,subsid,foundation,homepage,_company_name,founded,founders,services,num_employees_year,ISIN,predecessors,hq_location,hq_location_country,num_locations,website,location,image_upright,predecessor,revenue_year,income_year,net_income_year,assets_year,equity_year,owner,divisions,footnotes,aum,hq_location_city,trading_name,production,owners,brands,former_names,parent,logo_class,module,locations,logo_upright,logo_alt,image_alt,trade_name,areas_served,ratio,rating,native_name,native_name_lang
Adidas AG,Gebrüder Dassler Schuhfabrik (1924–1949),Adidas 2022 logo.svg,200,Main logo since 2022,Herzogenaurach - Adidas - 2016.jpg,250,"Current factory outlet in Herzogenaurach, Germany.",[[Public company|Public]],{{FWB|ADS|isin|=|DE000A1EWWW0}} <br />[[DAX|DAX component]],[[Adolf Dassler]],"[[Herzogenaurach]], Bavaria",Germany,Worldwide,"{{plainlist|
* [[Thomas Rabe (manager)|Thomas Rabe]] ([[chairman]])|ref|{{cite web |url=https://www.adidas-group.com/en/about/supervisory-board/ |title=Supervisory Board |website=Adidas Group |access-date=20 October 2021 |archive-date=18 August 2021 |archive-url=https://web.archive.org/web/20210818085730/https://www.adidas-group.com/en/about/supervisory-board/ |url-status=dead }}|</ref>|
* Bjørn Gulden ([[CEO]])}} * Bjørn Gulden ([[CEO]])","[[Textile industry|Textile]], [[Footwear#Footwear industry|footwear]]","[[clothing|Apparel]], [[footwear]], [[sportswear]], [[sports equipment]], [[toiletries]]",{{Increase}} [[Euro|€]]23.683&nbsp;billion (2024),{{Increase}} €1.249&nbsp;billion (2024),{{Increase}} €756&nbsp;million (2024),{{Increase}} €20.655&nbsp;billion (2024),{{Increase}} €5.868&nbsp;billion (2024),"62,035 (2024)",{{ubl|[[Adidas Runtastic]]|Matix}},"{{start date and age|df|=|yes|1924|7}} in [[Herzogenaurach]], Germany (as Gebrüder Dassler Schuhfabrik)<br /> {{start date and age|1949|8|18|df|=|yes}} (as Adidas)",{{URL|https://www.adidas.com/|adidas.com}},Adidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adyen N.V.,,Adyen Corporate Logo.svg,,,,,,[[Naamloze vennootschap]],{{ubl|EuronextAmsterdam|ADYEN|NL0012969182|[[AEX index|AEX]] component}} {{EuronextAmsterdam|ADYEN|NL0012969182}},,Amsterdam,Netherlands,,{{Unbulleted list|Pieter van der Does ([[Chief executive officer|CEO]])}},"[[Payment processor]], [[technology]], [[e-commerce]], [[point of sale]]",,{{increase}} {{€|1.996 billion|link|=|yes}} (2024),,{{increase}} €925 million (2024),{{increase}} €11.425 billion (2024),{{increase}} €4.232 billion (2024),"4,345",,,{{URL|https://www.adyen.com/|adyen.com}},Adyen,{{Start date and age|2006}},{{ubl|[[Arnout Schuijff]] | [[Pieter van der Does (businessman)|Pieter van der Does]]}},"[[Payment service provider]], gateway, risk management, local acquiring, point of sale, issuing",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koninklijke Ahold Delhaize N.V.,,{{#statements:P154}},,,{{#statements:P18}},,"Ahold Delhaize headquarters in Zaandam, Netherlands",[[Public company|Public]] ([[Naamloze vennootschap|N.V.]]),{{EuronextAmsterdam|AD|NL0011794037|XAMS}} <br>[[AEX index|AEX]] component,,,,,"{{plainlist|
* [[Frans Muller]] (President and CEO)
* Jerry W Fleeman (CEO Ahold Delhaize USA)
* Wouter Kolk (CEO Ahold Delhaize Europe and Indonesia)
* Jolanda Poots-Bijl (CFO)|ref|[https://www.aholddelhaize.com/en/news/jolanda-poots-bijl-appointed-to-the-management-board-of-ahold-delhaize-as-cfo Jolanda Poots-Bijl appointed to the Management Board of Ahold Delhaize as CFO ]/|</ref>|}}",{{#statements:P452}} {{ubl|[[Wholesaling]]|[[Technology]]}},,{{Increase}} [[Euro|€]]89.4 billion (2024),,{{Increase}} [[Euro|€]]1.8 billion (2024),,,"414,000",,{{#statements:P571}},,Ahold Delhaize,,,,,NL0011794037,{{ubl|[[Ahold]]|[[Delhaize Group]]}},{{#statements:P159}},{{#statements:P17}},"7,910 (2024)",{{Official website}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Liquide S.A.,,"Air Liquide - logo (France, 2017).svg",250px,,[[File:Air liquide headquarters.jpg|250px]],,Air Liquide headquarters in [[Paris]],[[S.A. (corporation)|Société Anonyme]],{{EuronextParis|AI|FR0000120073|XPAR}} <br />[[CAC 40]] component,,,,,"[[Benoît Potier]]<br /><small>([[Chairman]])</small>, [[François Jackow]] <small>([[chief executive officer|CEO]])</small>","[[Chemical industry|Chemicals]], [[Health care]], [[Engineering]]","[[Industrial gas]]es, [[fine chemicals]]",{{decrease}} {{€|27.05 billion|link|=|yes}} (2024),{{increase}} €5.39 billion (2024),{{increase}} €3.30 billion (2024),{{increase}} €51.86 billion (2024),{{increase}} €27.62 billion (2024),"67,800 (2023)",,{{start date and age|1902}},{{URL|https://www.airliquide.com/}},Air Liquide,,,,,,,,,,,"[[Quai d'Orsay]], [[7th arrondissement of Paris|7th arrondissement]], [[Paris]], France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbus SE,"{{Indented plainlist|
* '''Parent company:'''
* European Aeronautic Defence and Space Company NV (EADS) (2000–2014)
* Airbus Group NV (2014–2015)
* Airbus Group SE (2015–2017)
* '''Subsidiary:'''
* Airbus Industrie GIE (1970–2001)
* Airbus SAS (2001–current)
* Airbus Military (2008-2014)}}",Airbus Logo 2017.svg {{!}} class=skin-invert,180px,,Airbus Lagardère - Aéroconstellation.jpg,250px,"Lagardère production plant in [[Blagnac]], France",[[Public company|Public]],"{{Plainlist|
* |BMAD|isin|=|NL0000235190|AIR|
* |EuronextParis|AIR|NL0000235190|XPAR|
* |FWB|AIR|isin|=|NL0000235190|
* [[CAC 40]] component
* [[DAX]] component
* [[Euro Stoxx 50]] component}} {{BMAD|isin|=|NL0000235190|AIR}} * {{EuronextParis|AIR|NL0000235190|XPAR}} * {{FWB|AIR|isin|=|NL0000235190}} * [[CAC 40]] component
* [[DAX]] component
* [[Euro Stoxx 50]] component",,,,Worldwide,"{{plainlist|
* [[Guillaume Faury]] ([[Chief executive officer|CEO]])
* [[René Obermann]] ([[chairman]])}}","{{ubl
|[[Aerospace manufacturer|Aerospace]]
|[[Arms industry|Defence]]}}","{{hlist
  | [[Airbus A220|A220]]
  | [[Airbus A320neo family|A320neo]]
  | [[Airbus A330neo|A330neo]]
  | [[Airbus A350|A350]]}}",{{Increase}} &nbsp; {{€|69.23 billion|link|=|yes}},{{Increase}} {{€|5.30 billion}},{{Increase}} &nbsp; {{€|4.23 billion}},{{Increase}} &nbsp; {{€|129.21 billion}},{{Increase}} &nbsp; {{€|19.70 billion}},"156,921","{{plainlist|
* [[Airbus Group, Inc.]]
* [[Airbus Corporate Jets]]
* [[Composite Technology Center]]
* [[Helibras]]
* [[Metron Aviation]]
* [[NAVBLUE]]
* [[NHIndustries]] (62.5%)
* [[Premium AEROTEC]]
* [[Satair]]
* [[Airbus Atlantic]]
* [[Tesat-Spacecom]]
* [[Testia]]}}",,{{official url}},Airbus,{{Start date and age|1970|12|18|df|=|y}},,,2024,NL0000235190,,"{{Indented plainlist|
* [[Leiden]], Netherlands (legal headquarters)
* [[Blagnac]], France (main office of operations)}}",,,,,1.2,"[[Aérospatiale]], [[CASA (aircraft manufacturer)|CASA]], [[DASA]], [[Matra]]",2024,2024,2024,2024,2024,"{{Indented plainlist|
* [[SOGEPA]] (French Government): 10.9%|ref|[https://www.airbus.com/sites/g/files/jlcbta136/files/2023-11/Airbus_9m_2023_Presentation.pdf Airbus 9m Results 2023]. p.29. ''The Drive''. 8 November 2023.|</ref>|
* |ill|GZBV|de|Gesellschaft zur Beteiligungsverwaltung| (German Government): 10.8%|ref| name=""Airbus 9m Results 2023""|[https://www.airbus.com/sites/g/files/jlcbta136/files/2023-11/Airbus_9m_2023_Presentation.pdf Airbus 9m Results 2023].  p.29. ''The Drive''. 8 November 2023.|</ref>|
* [[Sociedad Estatal de Participaciones Industriales|SEPI]] (Spanish Government): 4.1%|ref| name=""Airbus 9m Results 2023""|ref| name=""shares2022""|{{cite web |title=Shareholding Structure at 31 December 2022 |url=https://www.airbus.com/sites/g/files/jlcbta136/files/2023-02/Airbus%20FY%202022%20Results%20Presentation_0.pdf|website=Airbus |access-date=22 April 2023 |language=en}}|</ref>|}} * {{ill|GZBV|de|Gesellschaft zur Beteiligungsverwaltung}} (German Government): 10.8% * [[Sociedad Estatal de Participaciones Industriales|SEPI]] (Spanish Government): 4.1%","{{plainlist|
* [[Airbus Defence and Space|Defence and Space]]
* [[Airbus Helicopters|Helicopters]]}}",Financials {{as of|2024|12|31|lc|=|y}} .<br />References:,,,,,,,,,,,,,,,,,,,,
Allianz,,Allianz.svg,,,Wzwz_schwabing_26_allianz_building.JPG,,Headquarters in Munich,[[Public company|Public]] (''[[societas Europaea]]''),{{ubl|FWB|ALV|[[DAX]] component}} {{FWB|ALV}},,,,[[World]]wide,"{{ubl|[[Oliver Bäte]] ([[CEO]]) |[[Michael Diekmann]] (chair, supervisory board)}}",[[Financial services]],,{{increase}} [[Euro|€]]179.8&nbsp;billion (2024),{{increase}} €16.02&nbsp;billion (2024),{{increase}} €10.54&nbsp;billion (2024),{{increase}} €1.045&nbsp;trillion (2024),{{increase}} €60&nbsp;billion (2024),"156,626 (2024)",{{ubl|[[AGF (company)|Allianz France]]|[[Allianz Global Investors]]|[[Allianz Life]]|[[Bajaj Finserv#Subsidiaries|Bajaj Allianz]]|[[Allianz Trade]]|[[PIMCO]]}},"{{Start date and age|1890|02|5|df|=|y}} in [[Munich]], [[Germany]]",{{URL|allianz.com/|Allianz.com}},Allianz,,{{ubl|[[Carl von Thieme]]|[[Wilhelm von Finck]]}},{{ubl|[[Insurance]] |[[General insurance]] |[[Health insurance]] |[[Vehicle insurance]] |[[Travel insurance]] |[[Home insurance]] |[[Life insurance]] |[[Mortgage loan]]s |[[Investment management]] | [[Asset management]] |[[Mutual fund]]s}},,,,,,,,"[[Munich]], Germany",,,,,,,,,,,{{nowrap|increase| €2.448&nbsp;trillion (2024)}} {{increase}} €2.448&nbsp;trillion (2024),,,,,,,,,,,,,,,,,,,
Anheuser-Busch InBev SA/NV,,Anheuser-Busch InBev Logo 2022.svg,,,,,,[[Public company|Public]],{{unbulleted list|EuronextBrussels|ABI|BE0974293251|XBRU|NYSE|BUD| (ADR)|JSE|ANH|[[BEL 20]] component (ABI)}} {{EuronextBrussels|ABI|BE0974293251|XBRU}} {{NYSE|BUD}} (ADR) {{JSE|ANH}},,,,Worldwide,{{Unbulleted list|[[Martin Barrington]] (chairman)|[[Michel Doukeris]] (CEO)}},[[Drink industry]],Alcoholic beverages: beer and soft drinks,{{increase}} {{US$|59.77&nbsp;billion|link|=|yes}},{{increase}} US$15.49&nbsp;billion,{{increase}} US$7.416&nbsp;billion,{{decrease}} US$206.6&nbsp;billion,{{decrease}} US$78.24&nbsp;billion,"143,885",{{unbulleted list|[[Anheuser-Busch]]|[[InBev]] ([[AmBev]] [[Interbrew]])|[[Grupo Modelo]]}},"{{start date and age|df|=|yes|2008}} ,<br />through [[InBev]] acquiring [[Anheuser-Busch]]",{{URL|https://ab-inbev.com}},Anheuser-Busch InBev,,,,2024,BE0974293251 (old BE0003793107),{{ubl|[[Anheuser-Busch]]|[[InBev]]}},,Belgium,,,,,,2024,2024,2024,2024,2024,,,,,[[Leuven]],,,,,,,,,,,,,,,,,,
,,Argenx.svg,,,,,,,,,,,,{{Unbulleted list|Tim Van Hauwermeiren ([[Chief executive officer|CEO]])|ref|{{Cite web |title=Management Team |url=https://argenx.com/about#management-team |access-date=18 November 2025 |website=Argenx}}|</ref>}},,,,,,,,,,,,Argenx,,,,,,,,,,{{URL|https://argenx.com}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML Holding N.V.,,[[File:ASML Holding N.V. logo.svg|frameless|upright=1.05|class=skin-invert]],,,ASML headquarters Veldhoven.jpg,,Corporate headquarters in [[Veldhoven]],[[Public company|Public]],{{Unbulleted list|EuronextAmsterdam|ASML|NL0010273215|XAMS|[[AEX index|AEX]] component|NASDAQ|ASML|[[Nasdaq-100]] component|OTC Pink|ASMLF}} {{EuronextAmsterdam|ASML|NL0010273215|XAMS}} {{NASDAQ|ASML}} {{OTC Pink|ASMLF}},,,,,{{ubl|Christophe Fouquet ([[Chief executive officer|CEO]])|Nils Andersen ([[chairman]] of the [[supervisory board]])}},[[Semiconductor industry]],[[Photolithography]] systems for the [[semiconductor]] industry,{{increase}} {{€|28.26&nbsp;billion|link|=|yes}} (2024),{{decrease}} {{€|9.023&nbsp;billion}} (2024),{{decrease}} {{€|7.572&nbsp;billion}} (2024),{{increase}} {{€|48.59&nbsp;billion}} (2024),{{increase}} {{€|18.48&nbsp;billion}} (2024),"43,395 (2024)",,,,ASML Holding,{{Unbulleted list | |Start date and age|1984| (joint venture) | |Start date and age|1988| (independent company)}} {{Start date and age|1984}} (joint venture) {{Start date and age|1988}} (independent company),,,,,,"[[Veldhoven]], Netherlands",,,{{URL|https://www.asml.com/|asml.com}},,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXA S.A.,,AXA Logo.svg,165px,,Hotel de la vaupaliere54.jpg,220px,"Headquarters at Hôtel de La Vaupalière, [[Paris]]",[[Public company|Public]],{{EuronextParis|CS|FR0000120628|XPAR}} <br />[[CAC 40]] component,,,France,Worldwide,[[Thomas Buberl]] ([[Chief executive officer|CEO]])<br />[[Antoine Gosset-Grainville]] ([[chairman of the board]]),[[Financial services]],{{ubl|[[Insurance]] |[[General insurance]] |[[Health insurance]] |[[Vehicle insurance]] |[[Travel insurance]] |[[Home insurance]] |[[Life insurance]] |[[Mortgage loan]]s |[[Investment management]] | [[Asset management]] |[[Pet Insurance ]] |[[Mutual fund]]s}},{{increase}} [[Euro|€]]102.733&nbsp;billion (2023),{{increase}} €6.34&nbsp;billion (2023),{{increase}} €7.37&nbsp;billion (2023),{{increase}} €644.44&nbsp;billion (2023),{{increase}} €52.39&nbsp;billion (2023),"113,696 (2023)",[[Axa Bank Belgium]]<br />[[Axa Investment Managers]]<br />[[Axa XL]],{{Start date and age|1921}},{{official URL}},Axa,,,,,,,,,,,"Hôtel de La Vaupalière, 25 Avenue Matignon",,,,,,,,,,,{{increase}} €945.50&nbsp;billion (2023),,,,,,,,,,,,,,,,,,,
